Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01923,581000.0,498100.0,3,1,1566.0,1956,2.0,0.43,2024-08-23,479900.0,2024-04-12,479900.0,6337.0,539300.0,24.0,30.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
A,01923,1540000.0,1525300.0,4,3,4652.0,1933,3.0,0.7,2024-09-25,155000.0,2024-07-30,1550000.0,12612.0,1073400.0,2.0,28.0,5.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
A,01923,1200000.0,1209500.0,4,4,4008.0,1900,2.0,0.85,2024-07-23,1200000.0,2024-05-16,1199000.0,10132.0,862300.0,72.0,55.0,5.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
A,01923,760000.0,763800.0,3,3,2148.0,1975,2.0,2.07,2024-08-13,800000.0,2024-06-24,800000.0,6883.0,585800.0,12.0,23.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A,01923,555555.0,555800.0,4,2,1463.0,1871,4.0,0.1,2024-09-10,499000.0,2024-08-07,499000.0,5492.0,467400.0,86.0,57.0,5.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,01923,575000.0,577700.0,3,1,1138.0,1955,4.0,0.18,2024-08-16,529000.0,2024-07-12,529000.0,5632.0,479300.0,58.0,45.0,5.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,01923,645000.0,645700.0,3,1,1794.0,1960,3.0,0.23,2024-08-23,599900.0,2024-06-29,629900.0,5826.0,495800.0,25.0,28.0,5.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,01923,760000.0,760500.0,3,2,2068.0,1961,1.0,0.24,2024-09-09,699900.0,2024-07-24,699900.0,6465.0,550200.0,50.0,36.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A,01923,805000.0,805500.0,4,3,2396.0,1965,2.0,0.23,2024-08-29,789000.0,2024-07-17,789000.0,6536.0,556200.0,24.0,30.0,5.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A,01923,676000.0,676300.0,4,2,2400.0,1960,4.0,0.23,2024-09-05,659000.0,2024-08-08,659000.0,6034.0,513500.0,20.0,33.0,5.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,01940,850000.0,853500.0,3,2,1841.0,1930,1.0,0.13,2024-08-23,799000.0,2024-07-08,799000.0,8150.0,721200.0,36.0,22.0,7.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
